date,regime_signal_fftfeat,close,regime_signal_fused,regime_signal_combined
2014-01-03,1,182.89,0,1
2014-01-06,1,182.36,0,1
2014-01-07,1,183.48,0,1
2014-01-08,1,183.52,0,1
2014-01-09,1,183.64,0,1
2014-01-10,1,184.14,0,1
2014-01-13,1,181.69,0,1
2014-01-14,1,183.67,0,1
2014-01-15,1,184.66,0,1
2014-01-16,1,184.42,0,1
2014-01-17,1,183.64,0,1
2014-01-21,1,184.18,0,1
2014-01-22,1,184.3,0,1
2014-01-23,1,182.79,0,1
2014-01-24,1,178.89,-1,1
2014-01-27,1,178.01,-1,1
2014-01-28,1,179.07,-1,1
2014-01-29,1,177.35,-1,1
2014-01-30,0,179.23,-1,0
2014-01-31,0,178.18,-1,0
2014-02-03,0,174.17,-1,0
2014-02-04,1,175.39,0,1
2014-02-05,1,175.17,0,1
2014-02-06,1,177.48,0,1
2014-02-07,1,179.68,0,1
2014-02-10,1,180.01,0,1
2014-02-11,1,181.98,0,1
2014-02-12,1,182.07,0,1
2014-02-13,1,183.01,0,1
2014-02-14,1,184.02,0,1
2014-02-18,1,184.24,0,1
2014-02-19,1,183.02,0,1
2014-02-20,1,184.1,0,1
2014-02-21,1,183.89,0,1
2014-02-24,1,184.91,0,1
2014-02-25,1,184.84,0,1
2014-02-26,1,184.85,0,1
2014-02-27,1,185.82,0,1
2014-02-28,1,186.29,0,1
2014-03-03,1,184.98,0,1
2014-03-04,1,187.58,0,1
2014-03-05,1,187.75,0,1
2014-03-06,1,188.18,0,1
2014-03-07,1,188.26,0,1
2014-03-10,1,188.16,0,1
2014-03-11,1,187.23,0,1
2014-03-12,1,187.28,0,1
2014-03-13,1,185.18,0,1
2014-03-14,1,184.66,0,1
2014-03-17,1,186.33,0,1
2014-03-18,1,187.66,0,1
2014-03-19,1,186.66,0,1
2014-03-20,1,187.75,0,1
2014-03-21,1,186.2,0,1
2014-03-24,1,185.43,0,1
2014-03-25,1,186.31,0,1
2014-03-26,1,184.97,0,1
2014-03-27,1,184.58,0,1
2014-03-28,1,185.49,0,1
2014-03-31,1,187.01,0,1
2014-04-01,1,188.25,0,1
2014-04-02,1,188.88,0,1
2014-04-03,1,188.63,0,1
2014-04-04,0,186.4,0,0
2014-04-07,0,184.34,0,0
2014-04-08,0,185.1,0,0
2014-04-09,0,187.09,0,0
2014-04-10,-1,183.16,-1,-2
2014-04-11,0,181.51,0,0
2014-04-14,0,182.94,0,0
2014-04-15,0,184.2,0,0
2014-04-16,1,186.13,0,1
2014-04-17,1,186.39,0,1
2014-04-21,1,187.04,0,1
2014-04-22,1,187.89,0,1
2014-04-23,1,187.45,0,1
2014-04-24,1,187.83,0,1
2014-04-25,1,186.29,0,1
2014-04-28,1,186.88,0,1
2014-04-29,1,187.75,0,1
2014-04-30,1,188.31,0,1
2014-05-01,1,188.33,0,1
2014-05-02,1,188.06,0,1
