date,close,regime_signal_raw,regime_signal_fft,regime_signal_fused
2014-01-03,182.89,1,,0
2014-01-06,182.36,1,-1.0,0
2014-01-07,183.48,1,-1.0,0
2014-01-08,183.52,1,-1.0,0
2014-01-09,183.64,1,-1.0,0
2014-01-10,184.14,1,-1.0,0
2014-01-13,181.69,1,-1.0,0
2014-01-14,183.67,1,-1.0,0
2014-01-15,184.66,1,-1.0,0
2014-01-16,184.42,1,-1.0,0
2014-01-17,183.64,1,-1.0,0
2014-01-21,184.18,1,-1.0,0
2014-01-22,184.3,0,-1.0,0
2014-01-23,182.79,0,-1.0,0
2014-01-24,178.89,-1,-1.0,-1
2014-01-27,178.01,-1,-1.0,-1
2014-01-28,179.07,-1,-1.0,-1
2014-01-29,177.35,-1,-1.0,-1
2014-01-30,179.23,-1,-1.0,-1
2014-01-31,178.18,-1,-1.0,-1
2014-02-03,174.17,-1,-1.0,-1
2014-02-04,175.39,0,-1.0,0
2014-02-05,175.17,0,-1.0,0
2014-02-06,177.48,0,-1.0,0
2014-02-07,179.68,0,-1.0,0
2014-02-10,180.01,1,-1.0,0
2014-02-11,181.98,1,-1.0,0
2014-02-12,182.07,1,-1.0,0
2014-02-13,183.01,1,-1.0,0
2014-02-14,184.02,1,-1.0,0
2014-02-18,184.24,1,-1.0,0
2014-02-19,183.02,1,-1.0,0
2014-02-20,184.1,1,-1.0,0
2014-02-21,183.89,1,-1.0,0
2014-02-24,184.91,1,-1.0,0
2014-02-25,184.84,1,-1.0,0
2014-02-26,184.85,1,-1.0,0
2014-02-27,185.82,1,-1.0,0
2014-02-28,186.29,1,-1.0,0
2014-03-03,184.98,1,-1.0,0
2014-03-04,187.58,1,-1.0,0
2014-03-05,187.75,1,-1.0,0
2014-03-06,188.18,1,-1.0,0
2014-03-07,188.26,1,-1.0,0
2014-03-10,188.16,1,-1.0,0
2014-03-11,187.23,1,-1.0,0
2014-03-12,187.28,1,-1.0,0
2014-03-13,185.18,1,-1.0,0
2014-03-14,184.66,1,-1.0,0
2014-03-17,186.33,1,-1.0,0
2014-03-18,187.66,1,-1.0,0
2014-03-19,186.66,1,-1.0,0
2014-03-20,187.75,1,-1.0,0
2014-03-21,186.2,1,-1.0,0
2014-03-24,185.43,1,-1.0,0
2014-03-25,186.31,1,-1.0,0
2014-03-26,184.97,1,-1.0,0
2014-03-27,184.58,1,-1.0,0
2014-03-28,185.49,1,-1.0,0
2014-03-31,187.01,1,-1.0,0
2014-04-01,188.25,1,-1.0,0
2014-04-02,188.88,1,-1.0,0
2014-04-03,188.63,1,-1.0,0
2014-04-04,186.4,0,-1.0,0
2014-04-07,184.34,0,-1.0,0
2014-04-08,185.1,0,-1.0,0
2014-04-09,187.09,0,-1.0,0
2014-04-10,183.16,-1,-1.0,-1
2014-04-11,181.51,0,-1.0,0
2014-04-14,182.94,0,-1.0,0
2014-04-15,184.2,0,-1.0,0
2014-04-16,186.13,1,-1.0,0
2014-04-17,186.39,1,-1.0,0
2014-04-21,187.04,1,-1.0,0
2014-04-22,187.89,1,-1.0,0
2014-04-23,187.45,1,-1.0,0
2014-04-24,187.83,1,-1.0,0
2014-04-25,186.29,1,-1.0,0
2014-04-28,186.88,1,-1.0,0
2014-04-29,187.75,1,0.0,0
2014-04-30,188.31,1,0.0,0
2014-05-01,188.33,1,-1.0,0
2014-05-02,188.06,1,-1.0,0
2014-05-05,188.42,1,-1.0,0
2014-05-06,186.78,1,-1.0,0
2014-05-07,187.88,1,-1.0,0
2014-05-08,187.68,1,-1.0,0
2014-05-09,187.96,1,-1.0,0
2014-05-12,189.79,1,-1.0,0
2014-05-13,189.96,1,0.0,0
2014-05-14,189.06,1,0.0,0
2014-05-15,187.4,1,0.0,0
2014-05-16,188.05,1,-1.0,0
2014-05-19,188.74,1,-1.0,0
2014-05-20,187.55,1,-1.0,0
2014-05-21,189.13,1,-1.0,0
2014-05-22,189.59,1,-1.0,0
2014-05-23,190.35,1,-1.0,0
2014-05-27,191.52,1,0.0,0
2014-05-28,191.38,1,1.0,1
2014-05-29,192.37,1,1.0,1
2014-05-30,192.68,1,1.0,1
2014-06-02,192.9,1,1.0,1
2014-06-03,192.8,1,1.0,1
2014-06-04,193.19,1,1.0,1
2014-06-05,194.45,1,1.0,1
2014-06-06,195.38,1,1.0,1
2014-06-09,195.58,1,1.0,1
2014-06-10,195.6,1,1.0,1
2014-06-11,194.92,1,1.0,1
2014-06-12,193.54,1,1.0,1
2014-06-13,194.13,1,1.0,1
2014-06-16,194.29,1,1.0,1
2014-06-17,194.83,1,1.0,1
2014-06-18,196.26,1,1.0,1
2014-06-19,196.48,1,1.0,1
2014-06-20,195.94,1,1.0,1
2014-06-23,195.88,1,1.0,1
2014-06-24,194.7,1,1.0,1
2014-06-25,195.58,1,1.0,1
2014-06-26,195.44,1,1.0,1
2014-06-27,195.82,1,1.0,1
2014-06-30,195.72,1,1.0,1
2014-07-01,197.03,1,1.0,1
2014-07-02,197.23,1,0.0,0
2014-07-03,198.2,1,1.0,1
2014-07-07,197.51,1,1.0,1
2014-07-08,196.24,1,1.0,1
2014-07-09,197.12,1,1.0,1
2014-07-10,196.34,1,1.0,1
2014-07-11,196.61,1,1.0,1
2014-07-14,197.6,1,1.0,1
2014-07-15,197.23,1,1.0,1
2014-07-16,197.96,1,1.0,1
2014-07-17,195.71,1,1.0,1
2014-07-18,197.71,1,1.0,1
2014-07-21,197.34,1,1.0,1
2014-07-22,198.2,1,1.0,1
2014-07-23,198.64,1,1.0,1
2014-07-24,198.65,1,1.0,1
2014-07-25,197.72,1,0.0,0
2014-07-28,197.8,1,-1.0,0
2014-07-29,196.95,1,-1.0,0
2014-07-30,196.98,1,-1.0,0
2014-07-31,193.09,0,-1.0,0
2014-08-01,192.5,1,-1.0,0
2014-08-04,193.89,1,-1.0,0
2014-08-05,192.01,1,-1.0,0
2014-08-06,192.07,1,0.0,0
2014-08-07,191.03,1,0.0,0
2014-08-08,193.24,1,0.0,0
2014-08-11,193.8,1,0.0,0
2014-08-12,193.53,1,0.0,0
2014-08-13,194.84,1,-1.0,0
2014-08-14,195.76,1,-1.0,0
2014-08-15,195.72,1,-1.0,0
2014-08-18,197.36,1,-1.0,0
2014-08-19,198.39,1,-1.0,0
2014-08-20,198.92,1,-1.0,0
2014-08-21,199.5,1,0.0,0
2014-08-22,199.19,1,1.0,1
2014-08-25,200.2,1,1.0,1
2014-08-26,200.33,1,1.0,1
2014-08-27,200.25,1,1.0,1
2014-08-28,200.14,1,1.0,1
2014-08-29,200.71,1,1.0,1
2014-09-02,200.61,1,1.0,1
2014-09-03,200.5,1,1.0,1
2014-09-04,200.21,1,1.0,1
2014-09-05,201.11,1,1.0,1
2014-09-08,200.59,1,1.0,1
2014-09-09,199.32,1,1.0,1
2014-09-10,200.07,1,1.0,1
2014-09-11,200.3,1,1.0,1
2014-09-12,199.13,1,1.0,1
2014-09-15,198.98,1,1.0,1
2014-09-16,200.48,1,1.0,1
2014-09-17,200.75,1,1.0,1
2014-09-18,201.82,1,1.0,1
2014-09-19,200.7,1,1.0,1
2014-09-22,199.15,1,1.0,1
2014-09-23,198.01,0,1.0,0
2014-09-24,199.56,0,0.0,0
